video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url,fetch_time,views,posted_time,teen_score,teen_reasons,self_reported_age,us_score,us_reasons,is_teen_candidate,is_us_candidate,is_us_teen_candidate
7505888218144083246,lillie.blaireee,I literally js wanted to participate in a trend with my friends and ik my gpa isnt even that crazy but it’s the highest possible for a freshman at my school so idc if it’s not as high as urs ,64700,488,1155,570900.0,,original sound,2025-05-18 20:40:27,https://www.tiktok.com/@lillie.blaireee/video/7505888218144083246,,,,3,kw_freshman;kw_gpa,,0,,True,False,False
7507084343861464351,lilykateterry,finally!!!! 😚❤️ @Drake Hibbard #fyp #graduation #highschool #highschoolsweethearts ,42700,11,1106,222300.0,"fyp, graduation, highschool, highschoolsweethearts",Sweet Love,2025-05-22 02:01:38,https://www.tiktok.com/@lilykateterry/video/7507084343861464351,,,,11,kw_highschool;kw_graduation;teen_tags_hi:graduation|highschool|highschoolsweethearts;teen_tags_lo:highschool|highschoolsweethearts,,0,,True,False,False
7506580557027970334,nieyaindia,at least i let her finish.. partially.. #graduation #graduated #onlineschool ,21600,167,293,203400.0,"graduation, graduated, onlineschool",original sound,2025-05-20 17:26:59,https://www.tiktok.com/@nieyaindia/video/7506580557027970334,,,,4,kw_graduation;teen_tags_hi:graduation;teen_tags_lo:onlineschool,,0,,True,False,False
7505865817159142658,lemifn,"In response to declining birth rates and shrinking student populations, some rural schools in South Korea have enrolled elderly women-particularly grandmothers who never had the opportunity to learn to read or write-to keep their classrooms open. For example, Bangrim Primary School in Gangwon Province, which once had nearly 700 students, saw its enrollment drop to just 22. To prevent closure, the school began admitting elderly women like 72-year-old Park Go-ee, who now attends classes alongside much younger students to learn the literacy skills she missed earlier in life. This initiative not only helps sustain rural schools but also offers lifelong learning opportunities for seniors, enhancing their social inclusion and mental well-being. Studies have shown that literacy education for rural seniors in South Korea is positively linked to greater social inclusion and improved mental health. As South Korea continues to grapple with one of the world's lowest fertility rates, such innovative approaches serve a dual purpose: preserving educational institutions in rural areas and empowering elderly citizens through education. #fyp #blowup #story #school ",273000,880,13200,1100000.0,"fyp, blowup, story, school",som original,2025-05-18 19:12:53,https://www.tiktok.com/@lemifn/video/7505865817159142658,,,,2,kw_student;teen_tags_lo:school,,0,,True,False,False
7506584339501583646,whitneyhackett22,When your coworker decides she would rather work with other people and is leaving you…  @Courtney West  @Karla Pickens Gilles @LaCrissa Martin  #middleschool #teachersoftiktok #teacherhumor🍎📚✏️ ,56400,317,12800,499700.0,"middleschool, teachersoftiktok, teacherhumor🍎📚✏️",original sound,2025-05-20 17:41:29,https://www.tiktok.com/@whitneyhackett22/video/7506584339501583646,,,,7,kw_middleschool;teen_tags_hi:middleschool;teen_tags_lo:middleschool|teacherhumor🍎📚✏️|teachersoftiktok,,0,,True,False,False
7507131507207638290,zazoootxt,,42500,950,9800,561100.0,"7grade, 2026, fyp, fyppppppppppppppppppppppp, foryoupage, xybca, graduation, rowadalkhaleejdammam",الصوت الأصلي,2025-05-22 05:04:26,https://www.tiktok.com/@zazoootxt/video/7507131507207638290,,,,3,kw_graduation;teen_tags_hi:graduation,,0,,True,False,False
7505819547413253406,alysloanh,"Last one, best one😉 #prom #promdress #prominspo #2025 #senioryear #alysloan #wlw #yellowpromdress #blonde #pinkhair ",54400,246,317,607500.0,"prom, promdress, prominspo, 2025, senioryear, alysloan, wlw, yellowpromdress, blonde, pinkhair",original sound - The Oscars,2025-05-18 16:13:32,https://www.tiktok.com/@alysloanh/video/7505819547413253406,,,,10,kw_prom;kw_senior_year;teen_tags_hi:prom|promdress|prominspo|senioryear|yellowpromdress,,0,,True,False,False
7507253899984719146,netflix,Prom night in Shadyside? Not your average dance 💃🩸 FEAR STREET: PROM QUEEN premieres TOMORROW!,86300,1250,4553,7400000.0,,original sound - Netflix,2025-05-22 18:00:00,https://www.tiktok.com/@netflix/video/7507253899984719146,,,,2,kw_prom,,0,,True,False,False
7507010926466551071,heyitskayzie,"Comment “summer” and I’ll send you everything I used! It’s officially summer vacation starting Friday in this house! And one thing we are going to do… all the activities. I’m going to keep these kids so busy with so many outdoor activities! So, today we tried puffy paint thanks to @Nattie | new mom & lifestyle and her awesome idea to do this! #momlife #summeractivities #toddlercraft #diymom #diycrafts #craftymom #summeractivitiesforkids #outdooractivity #sidewalkchalk #toddlerfun #toddleractivities ",20100,336,3773,794800.0,"momlife, summeractivities, toddlercraft, diymom, diycrafts, craftymom, summeractivitiesforkids, outdooractivity, sidewalkchalk, toddlerfun, toddleractivities",nhạc nền - Old Songs Old Memories,2025-05-21 21:16:37,https://www.tiktok.com/@heyitskayzie/video/7507010926466551071,,,,3,teen_tags_lo:outdooractivity|summeractivities|summeractivitiesforkids|toddleractivities,,0,,True,False,False
7505232578455080234,aly.larkinnn,another one #prom,80800,80,1286,447900.0,prom,som original,2025-05-17 02:16:12,https://www.tiktok.com/@aly.larkinnn/video/7505232578455080234,,,,4,kw_prom;teen_tags_hi:prom,,0,,True,False,False
